source,file,kind,direction,magnitude,run,size,activity,ns
micro,list_deep_16.json,list,deep,16,1,37,reading,1042556
micro,list_deep_16.json,list,deep,16,1,37,loading,55878
micro,list_deep_16.json,list,deep,16,1,37,saving,21172
micro,list_deep_16.json,list,deep,16,1,37,writing,381952
micro,list_deep_2.json,list,deep,2,1,9,reading,965938
micro,list_deep_2.json,list,deep,2,1,9,loading,56236
micro,list_deep_2.json,list,deep,2,1,9,saving,13286
micro,list_deep_2.json,list,deep,2,1,9,writing,185508
micro,named_deep_64.json,named,deep,64,1,427,reading,1455454
micro,named_deep_64.json,named,deep,64,1,427,loading,30666
micro,named_deep_64.json,named,deep,64,1,427,saving,100923
micro,named_deep_64.json,named,deep,64,1,427,writing,2705402
micro,list_deep_32.json,list,deep,32,1,69,reading,1047115
micro,list_deep_32.json,list,deep,32,1,69,loading,54805
micro,list_deep_32.json,list,deep,32,1,69,saving,22098
micro,list_deep_32.json,list,deep,32,1,69,writing,547288
micro,list_wide_16.json,list,wide,16,1,82,reading,1048757
micro,list_wide_16.json,list,wide,16,1,82,loading,61523
micro,list_wide_16.json,list,wide,16,1,82,saving,20239
micro,list_wide_16.json,list,wide,16,1,82,writing,346999
micro,named_wide_32.json,named,wide,32,2,296,reading,483071
micro,named_wide_32.json,named,wide,32,2,296,loading,55894
micro,named_wide_32.json,named,wide,32,2,296,saving,39864
micro,named_wide_32.json,named,wide,32,2,296,writing,1306513
micro,list_wide_64.json,list,wide,64,2,322,reading,454974
micro,list_wide_64.json,list,wide,64,2,322,loading,71881
micro,list_wide_64.json,list,wide,64,2,322,saving,36335
micro,list_wide_64.json,list,wide,64,2,322,writing,949911
micro,named_deep_16.json,named,deep,16,2,101,reading,177383
micro,named_deep_16.json,named,deep,16,2,101,loading,28960
micro,named_deep_16.json,named,deep,16,2,101,saving,24068
micro,named_deep_16.json,named,deep,16,2,101,writing,666415
micro,named_wide_4.json,named,wide,4,2,38,reading,88238
micro,named_wide_4.json,named,wide,4,2,38,loading,29154
micro,named_wide_4.json,named,wide,4,2,38,saving,11424
micro,named_wide_4.json,named,wide,4,2,38,writing,316993
micro,list_wide_2.json,list,wide,2,2,12,reading,42787
micro,list_wide_2.json,list,wide,2,2,12,loading,51527
micro,list_wide_2.json,list,wide,2,2,12,saving,14022
micro,list_wide_2.json,list,wide,2,2,12,writing,229361
micro,list_wide_128.json,list,wide,128,2,642,reading,856314
micro,list_wide_128.json,list,wide,128,2,642,loading,96351
micro,list_wide_128.json,list,wide,128,2,642,saving,76824
micro,list_wide_128.json,list,wide,128,2,642,writing,2177495
micro,named_wide_1.json,named,wide,1,2,11,reading,56408
micro,named_wide_1.json,named,wide,1,2,11,loading,30208
micro,named_wide_1.json,named,wide,1,2,11,saving,26472
micro,named_wide_1.json,named,wide,1,2,11,writing,190713
micro,named_wide_256.json,named,wide,256,2,2536,reading,3557970
micro,named_wide_256.json,named,wide,256,2,2536,loading,120692
micro,named_wide_256.json,named,wide,256,2,2536,saving,141428
micro,named_wide_256.json,named,wide,256,2,2536,writing,8601639
micro,named_wide_8.json,named,wide,8,2,74,reading,137405
micro,named_wide_8.json,named,wide,8,2,74,loading,31178
micro,named_wide_8.json,named,wide,8,2,74,saving,11912
micro,named_wide_8.json,named,wide,8,2,74,writing,479438
micro,named_wide_128.json,named,wide,128,2,1256,reading,1691356
micro,named_wide_128.json,named,wide,128,2,1256,loading,72105
micro,named_wide_128.json,named,wide,128,2,1256,saving,82405
micro,named_wide_128.json,named,wide,128,2,1256,writing,4581819
micro,named_wide_2.json,named,wide,2,2,20,reading,66002
micro,named_wide_2.json,named,wide,2,2,20,loading,28608
micro,named_wide_2.json,named,wide,2,2,20,saving,14437
micro,named_wide_2.json,named,wide,2,2,20,writing,217051
micro,list_wide_256.json,list,wide,256,2,1282,reading,1645318
micro,list_wide_256.json,list,wide,256,2,1282,loading,129284
micro,list_wide_256.json,list,wide,256,2,1282,saving,111837
micro,list_wide_256.json,list,wide,256,2,1282,writing,3378111
micro,list_deep_2.json,list,deep,2,2,9,reading,40411
micro,list_deep_2.json,list,deep,2,2,9,loading,52943
micro,list_deep_2.json,list,deep,2,2,9,saving,12252
micro,list_deep_2.json,list,deep,2,2,9,writing,168008
micro,list_deep_64.json,list,deep,64,2,133,reading,208417
micro,list_deep_64.json,list,deep,64,2,133,loading,51117
micro,list_deep_64.json,list,deep,64,2,133,saving,23355
micro,list_deep_64.json,list,deep,64,2,133,writing,919658
micro,list_wide_8.json,list,wide,8,2,42,reading,78994
micro,list_wide_8.json,list,wide,8,2,42,loading,54334
micro,list_wide_8.json,list,wide,8,2,42,saving,13417
micro,list_wide_8.json,list,wide,8,2,42,writing,240233
micro,named_deep_32.json,named,deep,32,2,203,reading,308007
micro,named_deep_32.json,named,deep,32,2,203,loading,28345
