source,file,run,size,activity,ns
gh,gh_licenses.json,1,2507,writing,3126152
fda,tobacco100.json,1,63634,reading,86345949
fda,tobacco100.json,1,63634,loading,43902
fda,tobacco100.json,1,63634,saving,310625
fda,tobacco100.json,1,63634,writing,42938712
gh,gh_events.json,1,54778,reading,76745223
gh,gh_events.json,1,54778,loading,69777
gh,gh_events.json,1,54778,saving,342472
gh,gh_events.json,1,54778,writing,46163844
fda,tobacco_products.json,1,2345,reading,3544917
fda,tobacco_products.json,1,2345,loading,33297
fda,tobacco_products.json,1,2345,saving,41442
fda,tobacco_products.json,1,2345,writing,2186015
fda,recall10.json,1,212061,reading,280935303
fda,recall10.json,1,212061,loading,32723
fda,recall10.json,1,212061,saving,873748
fda,recall10.json,1,212061,writing,268790909
penguin,dekeijzer.json,1,446,reading,982776
penguin,dekeijzer.json,1,446,loading,31009
penguin,dekeijzer.json,1,446,saving,40573
penguin,dekeijzer.json,1,446,writing,891043
gh,gh_mgree_events.json,1,168832,reading,226131129
gh,gh_mgree_events.json,1,168832,loading,83989
gh,gh_mgree_events.json,1,168832,saving,869394
gh,gh_mgree_events.json,1,168832,writing,133409205
gh,kmt.json,1,4979,reading,7261995
gh,kmt.json,1,4979,loading,79460
gh,kmt.json,1,4979,saving,94823
gh,kmt.json,1,4979,writing,4825472
synthetic,list2.json,1,25,reading,357884
synthetic,list2.json,1,25,loading,56138
synthetic,list2.json,1,25,saving,16058
synthetic,list2.json,1,25,writing,354033
gh,ffs.json,1,5089,reading,7490066
gh,ffs.json,1,5089,loading,81582
gh,ffs.json,1,5089,saving,81261
gh,ffs.json,1,5089,writing,4122489
penguin,grisham.json,1,22488,reading,32096936
penguin,grisham.json,1,22488,loading,33445
penguin,grisham.json,1,22488,saving,424747
penguin,grisham.json,1,22488,writing,45652710
synthetic,object.json,1,77,reading,334528
synthetic,object.json,1,77,loading,33849
synthetic,object.json,1,77,saving,10060
synthetic,object.json,1,77,writing,360997
json.org,json_eg4.json,1,3468,reading,4874732
json.org,json_eg4.json,1,3468,loading,57820
json.org,json_eg4.json,1,3468,saving,48038
json.org,json_eg4.json,1,3468,writing,3873491
fda,tobacco10.json,1,6567,reading,9708963
fda,tobacco10.json,1,6567,loading,31014
fda,tobacco10.json,1,6567,saving,49245
fda,tobacco10.json,1,6567,writing,4765894
gov.uk,bank-holidays.json,1,15124,reading,22158684
gov.uk,bank-holidays.json,1,15124,loading,39700
gov.uk,bank-holidays.json,1,15124,saving,251199
gov.uk,bank-holidays.json,1,15124,writing,34425085
penguin,bsd.json,1,5415,reading,7542380
penguin,bsd.json,1,5415,loading,30091
penguin,bsd.json,1,5415,saving,54145
penguin,bsd.json,1,5415,writing,3343084
gh,gh_apache2.json,1,12591,reading,18152554
gh,gh_apache2.json,1,12591,loading,40724
gh,gh_apache2.json,1,12591,saving,36669
gh,gh_apache2.json,1,12591,writing,3301133
fda,registrationlisting.json,1,3228,reading,5069738
fda,registrationlisting.json,1,3228,loading,31265
fda,registrationlisting.json,1,3228,saving,48260
fda,registrationlisting.json,1,3228,writing,3677287
fda,recall100.json,1,2117776,reading,2764752073
fda,recall100.json,1,2117776,loading,33213
fda,recall100.json,1,2117776,saving,9219094
fda,recall100.json,1,2117776,writing,2058468281
ncdc,ncdc_gsom_sample.json,1,2867,reading,4159729
ncdc,ncdc_gsom_sample.json,1,2867,loading,60721
ncdc,ncdc_gsom_sample.json,1,2867,saving,50106
ncdc,ncdc_gsom_sample.json,1,2867,writing,6178509
doi,doi_smoosh.json,1,537,reading,998204
doi,doi_smoosh.json,1,537,loading,29454
doi,doi_smoosh.json,1,537,saving,29965
doi,doi_smoosh.json,1,537,writing,1337664
penn,historic-20181028.json,1,1468638,reading,1936367160
penn,historic-20181028.json,1,1468638,loading,1164956
penn,historic-20181028.json,1,1468638,saving,11204336
penn,historic-20181028.json,1,1468638,writing,1695134799
json.org,json_eg1.json,1,583,reading,1071280
json.org,json_eg1.json,1,583,loading,28881
json.org,json_eg1.json,1,583,saving,28727
json.org,json_eg1.json,1,583,writing,875977
ncdc,ncdc_zips.json,1,2851,reading,4008147
ncdc,ncdc_zips.json,1,2851,loading,30074
ncdc,ncdc_zips.json,1,2851,saving,107302
ncdc,ncdc_zips.json,1,2851,writing,6052264
penguin,linux.json,1,64401,reading,87046394
penguin,linux.json,1,64401,loading,34165
penguin,linux.json,1,64401,saving,344396
penguin,linux.json,1,64401,writing,33253487
ncdc,ncdc_locationcategories.json,1,543,reading,1190072
