source,file,kind,direction,magnitude,run,size,activity,ns
micro,list_deep_1.json,list,deep,1,1,7,reading,283812
micro,list_deep_1.json,list,deep,1,1,7,loading,54678
micro,list_deep_1.json,list,deep,1,1,7,saving,22593
micro,list_deep_1.json,list,deep,1,1,7,writing,171334
micro,list_wide_2.json,list,wide,2,1,12,reading,942400
micro,list_wide_2.json,list,wide,2,1,12,loading,56669
micro,list_wide_2.json,list,wide,2,1,12,saving,12813
micro,list_wide_2.json,list,wide,2,1,12,writing,175021
micro,named_deep_1.json,named,deep,1,1,11,reading,1185309
micro,named_deep_1.json,named,deep,1,1,11,loading,37583
micro,named_deep_1.json,named,deep,1,1,11,saving,18876
micro,named_deep_1.json,named,deep,1,1,11,writing,218661
micro,list_deep_2.json,list,deep,2,1,9,reading,1019007
micro,list_deep_2.json,list,deep,2,1,9,loading,57494
micro,list_deep_2.json,list,deep,2,1,9,saving,12391
micro,list_deep_2.json,list,deep,2,1,9,writing,230182
micro,named_deep_2.json,named,deep,2,1,17,reading,1117472
micro,named_deep_2.json,named,deep,2,1,17,loading,58193
micro,named_deep_2.json,named,deep,2,1,17,saving,11879
micro,named_deep_2.json,named,deep,2,1,17,writing,292716
micro,list_deep_16.json,list,deep,16,2,37,reading,905537
micro,list_deep_16.json,list,deep,16,2,37,loading,64004
micro,list_deep_16.json,list,deep,16,2,37,saving,20104
micro,list_deep_16.json,list,deep,16,2,37,writing,354934
micro,named_wide_2.json,named,wide,2,2,20,reading,257380
micro,named_wide_2.json,named,wide,2,2,20,loading,42810
micro,named_wide_2.json,named,wide,2,2,20,saving,10394
micro,named_wide_2.json,named,wide,2,2,20,writing,259929
micro,named_deep_1.json,named,deep,1,2,11,reading,229226
micro,named_deep_1.json,named,deep,1,2,11,loading,38330
micro,named_deep_1.json,named,deep,1,2,11,saving,9678
micro,named_deep_1.json,named,deep,1,2,11,writing,189075
micro,named_wide_128.json,named,wide,128,2,1256,reading,2704246
micro,named_wide_128.json,named,wide,128,2,1256,loading,79811
micro,named_wide_128.json,named,wide,128,2,1256,saving,122105
micro,named_wide_128.json,named,wide,128,2,1256,writing,4656773
micro,list_wide_16.json,list,wide,16,2,82,reading,1107023
micro,list_wide_16.json,list,wide,16,2,82,loading,87196
micro,list_wide_16.json,list,wide,16,2,82,saving,16290
micro,list_wide_16.json,list,wide,16,2,82,writing,345694
micro,named_wide_1.json,named,wide,1,2,11,reading,923303
micro,named_wide_1.json,named,wide,1,2,11,loading,33068
micro,named_wide_1.json,named,wide,1,2,11,saving,16651
micro,named_wide_1.json,named,wide,1,2,11,writing,213454
micro,list_deep_1.json,list,deep,1,2,7,reading,877010
micro,list_deep_1.json,list,deep,1,2,7,loading,54707
micro,list_deep_1.json,list,deep,1,2,7,saving,10851
micro,list_deep_1.json,list,deep,1,2,7,writing,168107
micro,named_wide_16.json,named,wide,16,2,146,reading,727219
micro,named_wide_16.json,named,wide,16,2,146,loading,34421
micro,named_wide_16.json,named,wide,16,2,146,saving,37847
micro,named_wide_16.json,named,wide,16,2,146,writing,696489
micro,list_wide_128.json,list,wide,128,2,642,reading,1048805
micro,list_wide_128.json,list,wide,128,2,642,loading,107615
micro,list_wide_128.json,list,wide,128,2,642,saving,42722
micro,list_wide_128.json,list,wide,128,2,642,writing,1514006
micro,named_wide_64.json,named,wide,64,2,616,reading,1785279
micro,named_wide_64.json,named,wide,64,2,616,loading,64269
micro,named_wide_64.json,named,wide,64,2,616,saving,54642
micro,named_wide_64.json,named,wide,64,2,616,writing,2462280
micro,list_deep_8.json,list,deep,8,2,21,reading,924875
micro,list_deep_8.json,list,deep,8,2,21,loading,60084
micro,list_deep_8.json,list,deep,8,2,21,saving,13706
micro,list_deep_8.json,list,deep,8,2,21,writing,234461
micro,named_wide_4.json,named,wide,4,2,38,reading,900785
