source,file,run,size,activity,ns
ncdc,ncdc_datatypes.json,1,4013,loading,180824
ncdc,ncdc_datatypes.json,1,4013,saving,111466
ncdc,ncdc_datatypes.json,1,4013,writing,6129431
penguin,dekeijzer.json,1,446,reading,1439861
penguin,dekeijzer.json,1,446,loading,42963
penguin,dekeijzer.json,1,446,saving,36029
penguin,dekeijzer.json,1,446,writing,766297
json.org,json_eg2.json,1,242,reading,1255201
json.org,json_eg2.json,1,242,loading,74594
json.org,json_eg2.json,1,242,saving,34214
json.org,json_eg2.json,1,242,writing,623314
fda,registrationlisting100.json,1,214459,reading,287538306
fda,registrationlisting100.json,1,214459,loading,4124361
fda,registrationlisting100.json,1,214459,saving,3209442
fda,registrationlisting100.json,1,214459,writing,215892724
penn,historic-20181028.json,1,1468638,reading,1931949677
penn,historic-20181028.json,1,1468638,loading,36599068
penn,historic-20181028.json,1,1468638,saving,22759229
penn,historic-20181028.json,1,1468638,writing,1592020705
fda,recall.json,1,22475,reading,32009730
fda,recall.json,1,22475,loading,778946
fda,recall.json,1,22475,saving,297865
fda,recall.json,1,22475,writing,41043504
penguin,grisham.json,1,22488,reading,31908573
penguin,grisham.json,1,22488,loading,1960703
penguin,grisham.json,1,22488,saving,791242
penguin,grisham.json,1,22488,writing,48216637
fda,waterpipe.json,1,1955,reading,3888855
fda,waterpipe.json,1,1955,loading,115999
fda,waterpipe.json,1,1955,saving,48270
fda,waterpipe.json,1,1955,writing,1682503
gh,gh_gpl3.json,1,36979,reading,52792796
gh,gh_gpl3.json,1,36979,loading,81729
gh,gh_gpl3.json,1,36979,saving,64772
gh,gh_gpl3.json,1,36979,writing,8462389
gh,ffs.json,1,5089,reading,8369000
gh,ffs.json,1,5089,loading,112701
gh,ffs.json,1,5089,saving,103715
gh,ffs.json,1,5089,writing,3978678
doi,doi_smoosh.json,1,537,reading,988459
doi,doi_smoosh.json,1,537,loading,82251
doi,doi_smoosh.json,1,537,saving,63944
doi,doi_smoosh.json,1,537,writing,1378746
ncdc,ncdc_07030_stations.json,1,1476,reading,2450556
ncdc,ncdc_07030_stations.json,1,1476,loading,121683
ncdc,ncdc_07030_stations.json,1,1476,saving,79951
ncdc,ncdc_07030_stations.json,1,1476,writing,3278601
gh,gh_events.json,1,54778,reading,75423093
gh,gh_events.json,1,54778,loading,1166364
gh,gh_events.json,1,54778,saving,713688
gh,gh_events.json,1,54778,writing,43922309
fda,tobacco.json,1,1144,reading,2492330
fda,tobacco.json,1,1144,loading,90354
fda,tobacco.json,1,1144,saving,48684
fda,tobacco.json,1,1144,writing,899357
rv,human_male.json,1,603912,reading,813415925
rv,human_male.json,1,603912,loading,15096185
rv,human_male.json,1,603912,saving,11315941
rv,human_male.json,1,603912,writing,875514754
synthetic,list2.json,1,25,reading,884414
synthetic,list2.json,1,25,loading,63437
synthetic,list2.json,1,25,saving,21674
synthetic,list2.json,1,25,writing,368857
synthetic,object_null.json,1,95,reading,1052551
synthetic,object_null.json,1,95,loading,40243
synthetic,object_null.json,1,95,saving,28940
synthetic,object_null.json,1,95,writing,335979
penguin,bsd.json,1,5415,reading,8471521
penguin,bsd.json,1,5415,loading,131735
penguin,bsd.json,1,5415,saving,87433
penguin,bsd.json,1,5415,writing,3588773
fda,recall50.json,1,1049501,reading,1403248975
fda,recall50.json,1,1049501,loading,24238927
fda,recall50.json,1,1049501,saving,11884526
fda,recall50.json,1,1049501,writing,1027460282
ncdc,ncdc_locations.json,1,2808,reading,4866224
ncdc,ncdc_locations.json,1,2808,loading,163234
ncdc,ncdc_locations.json,1,2808,saving,113449
ncdc,ncdc_locations.json,1,2808,writing,6449237
ncdc,ncdc_stations_big.json,1,200908,reading,268966279
ncdc,ncdc_stations_big.json,1,200908,loading,8631117
ncdc,ncdc_stations_big.json,1,200908,saving,4874023
ncdc,ncdc_stations_big.json,1,200908,writing,373930768
synthetic,obj_rename.json,1,69,reading,1123501
synthetic,obj_rename.json,1,69,loading,33562
synthetic,obj_rename.json,1,69,saving,11041
synthetic,obj_rename.json,1,69,writing,316038
gh,gh_mgree_events.json,1,168832,reading,227079631
gh,gh_mgree_events.json,1,168832,loading,2617620
gh,gh_mgree_events.json,1,168832,saving,2293228
gh,gh_mgree_events.json,1,168832,writing,122814242
ncdc,ncdc_datacategories.json,1,1075,reading,2318882
ncdc,ncdc_datacategories.json,1,1075,loading,140007
ncdc,ncdc_datacategories.json,1,1075,saving,77168
ncdc,ncdc_datacategories.json,1,1075,writing,3100384
ncdc,ncdc_gsom_sample.json,1,2867,reading,4962286
ncdc,ncdc_gsom_sample.json,1,2867,loading,183582
ncdc,ncdc_gsom_sample.json,1,2867,saving,87030
ncdc,ncdc_gsom_sample.json,1,2867,writing,5484699
fda,tobacco100.json,1,63634,reading,86518561
fda,tobacco100.json,1,63634,loading,1225798
fda,tobacco100.json,1,63634,saving,646495
fda,tobacco100.json,1,63634,writing,43578585
json.org,json_eg1.json,1,583,reading,1671275
json.org,json_eg1.json,1,583,loading,73633
json.org,json_eg1.json,1,583,saving,33366
json.org,json_eg1.json,1,583,writing,773115
rv,demons.json,2,194,reading,289395
rv,demons.json,2,194,loading,63616
rv,demons.json,2,194,saving,32105
rv,demons.json,2,194,writing,499496
gh,gh_events.json,2,54778,reading,71788972
gh,gh_events.json,2,54778,loading,953069
gh,gh_events.json,2,54778,saving,847182
gh,gh_events.json,2,54778,writing,46002501
penn,historic-20181028.json,2,1468638,reading,1951847397
penn,historic-20181028.json,2,1468638,loading,36817237
penn,historic-20181028.json,2,1468638,saving,23374493
penn,historic-20181028.json,2,1468638,writing,1559806371
json.org,json_eg5.json,2,873,reading,1159585
json.org,json_eg5.json,2,873,loading,94072
json.org,json_eg5.json,2,873,saving,87034
json.org,json_eg5.json,2,873,writing,1871092
fda,registrationlisting100.json,2,214459,reading,284407217
fda,registrationlisting100.json,2,214459,loading,4099325
fda,registrationlisting100.json,2,214459,saving,3546406
fda,registrationlisting100.json,2,214459,writing,244357995
json.org,json_eg3.json,2,602,reading,1632010
json.org,json_eg3.json,2,602,loading,63174
json.org,json_eg3.json,2,602,saving,39817
json.org,json_eg3.json,2,602,writing,1249267
json.org,json_eg1.json,2,583,reading,824682
json.org,json_eg1.json,2,583,loading,69208
json.org,json_eg1.json,2,583,saving,38763
json.org,json_eg1.json,2,583,writing,1043161
ncdc,ncdc_locations.json,2,2808,reading,3843503
ncdc,ncdc_locations.json,2,2808,loading,171477
ncdc,ncdc_locations.json,2,2808,saving,102796
ncdc,ncdc_locations.json,2,2808,writing,5780203
gh,mgree_repos.json,2,159905,reading,215229315
gh,mgree_repos.json,2,159905,loading,2247213
gh,mgree_repos.json,2,159905,saving,1772381
gh,mgree_repos.json,2,159905,writing,119904609
gh,kmt.json,2,4979,reading,6998522
gh,kmt.json,2,4979,loading,135068
gh,kmt.json,2,4979,saving,98338
gh,kmt.json,2,4979,writing,4390980
gov.uk,bank-holidays.json,2,15124,reading,22786025
gov.uk,bank-holidays.json,2,15124,loading,719749
gov.uk,bank-holidays.json,2,15124,saving,501430
gov.uk,bank-holidays.json,2,15124,writing,31630083
fda,recall.json,2,22475,reading,30069071
fda,recall.json,2,22475,loading,585526
fda,recall.json,2,22475,saving,292513
fda,recall.json,2,22475,writing,20003728
fda,waterpipe.json,2,1955,reading,2581132
fda,waterpipe.json,2,1955,loading,101677
fda,waterpipe.json,2,1955,saving,54032
fda,waterpipe.json,2,1955,writing,1391166
fda,event.json,2,1819,reading,2429012
fda,event.json,2,1819,loading,107806
fda,event.json,2,1819,saving,71121
fda,event.json,2,1819,writing,2091912
ncdc,ncdc_07030.json,2,111,reading,199166
ncdc,ncdc_07030.json,2,111,loading,43763
ncdc,ncdc_07030.json,2,111,saving,21140
ncdc,ncdc_07030.json,2,111,writing,376499
fda,tobacco.json,2,1144,reading,1500413
fda,tobacco.json,2,1144,loading,79816
fda,tobacco.json,2,1144,saving,39344
fda,tobacco.json,2,1144,writing,991288
fda,event100.json,2,2945177,reading,3794024620
fda,event100.json,2,2945177,loading,51760004
fda,event100.json,2,2945177,saving,26362116
fda,event100.json,2,2945177,writing,1906831007
penguin,rust.json,2,161726,reading,210494266
penguin,rust.json,2,161726,loading,880056
penguin,rust.json,2,161726,saving,850884
penguin,rust.json,2,161726,writing,38637844
json.org,json_eg4.json,2,3468,reading,4666232
json.org,json_eg4.json,2,3468,loading,123114
json.org,json_eg4.json,2,3468,saving,123044
json.org,json_eg4.json,2,3468,writing,3635424
gh,gh_mgree_events.json,2,168832,reading,227606587
gh,gh_mgree_events.json,2,168832,loading,2565311
gh,gh_mgree_events.json,2,168832,saving,2149316
gh,gh_mgree_events.json,2,168832,writing,126573413
fda,tobacco_products.json,2,2345,reading,4054976
fda,tobacco_products.json,2,2345,loading,114551
fda,tobacco_products.json,2,2345,saving,59481
fda,tobacco_products.json,2,2345,writing,1961116
ncdc,ncdc_datatypes.json,2,4013,reading,5348455
ncdc,ncdc_datatypes.json,2,4013,loading,165843
ncdc,ncdc_datatypes.json,2,4013,saving,101764
ncdc,ncdc_datatypes.json,2,4013,writing,6075224
ncdc,ncdc_07030_stations.json,2,1476,reading,2170437
ncdc,ncdc_07030_stations.json,2,1476,loading,116913
ncdc,ncdc_07030_stations.json,2,1476,saving,64307
ncdc,ncdc_07030_stations.json,2,1476,writing,2990434
ncdc,ncdc_locationcategories.json,2,543,reading,1615464
ncdc,ncdc_locationcategories.json,2,543,loading,91014
ncdc,ncdc_locationcategories.json,2,543,saving,55779
ncdc,ncdc_locationcategories.json,2,543,writing,1943061
penguin,linux.json,2,64401,reading,87751275
penguin,linux.json,2,64401,loading,774472
penguin,linux.json,2,64401,saving,784658
penguin,linux.json,2,64401,writing,35262374
ncdc,ncdc_datacategories.json,2,1075,reading,1377771
ncdc,ncdc_datacategories.json,2,1075,loading,173923
ncdc,ncdc_datacategories.json,2,1075,saving,71207
ncdc,ncdc_datacategories.json,2,1075,writing,3067811
synthetic,object_null.json,2,95,reading,174140
synthetic,object_null.json,2,95,loading,41348
synthetic,object_null.json,2,95,saving,16396
synthetic,object_null.json,2,95,writing,384263
doi,doi_smoosh.json,2,537,reading,721812
doi,doi_smoosh.json,2,537,loading,93915
doi,doi_smoosh.json,2,537,saving,46432
doi,doi_smoosh.json,2,537,writing,1381592
ncdc,ncdc_datasets.json,2,1625,reading,2243087
ncdc,ncdc_datasets.json,2,1625,loading,118681
ncdc,ncdc_datasets.json,2,1625,saving,70462
ncdc,ncdc_datasets.json,2,1625,writing,3792853
gh,gh_gpl3.json,2,36979,reading,50182024
gh,gh_gpl3.json,2,36979,loading,86373
gh,gh_gpl3.json,2,36979,saving,74337
gh,gh_gpl3.json,2,36979,writing,9571420
gh,gh_emoji.json,2,173641,reading,226606050
gh,gh_emoji.json,2,173641,loading,1679729
gh,gh_emoji.json,2,173641,saving,1675766
gh,gh_emoji.json,2,173641,writing,84890315
ncdc,ncdc_gsom_sample.json,2,2867,reading,3833372
ncdc,ncdc_gsom_sample.json,2,2867,loading,185359
ncdc,ncdc_gsom_sample.json,2,2867,saving,110116
ncdc,ncdc_gsom_sample.json,2,2867,writing,5840330
gh,gh_apache2.json,2,12591,reading,18784775
gh,gh_apache2.json,2,12591,loading,84643
gh,gh_apache2.json,2,12591,saving,51089
gh,gh_apache2.json,2,12591,writing,3598662
penguin,bsd.json,2,5415,reading,7277830
penguin,bsd.json,2,5415,loading,124594
penguin,bsd.json,2,5415,saving,151381
penguin,bsd.json,2,5415,writing,4005303
rv,human_male.json,2,603912,reading,793417481
rv,human_male.json,2,603912,loading,14462699
rv,human_male.json,2,603912,saving,10301867
rv,human_male.json,2,603912,writing,858578783
rv,animal.json,2,7051,reading,10729934
rv,animal.json,2,7051,loading,255860
rv,animal.json,2,7051,saving,162484
rv,animal.json,2,7051,writing,11402964
gh,mgree.json,2,1331,reading,1823319
gh,mgree.json,2,1331,loading,59565
gh,mgree.json,2,1331,saving,48842
gh,mgree.json,2,1331,writing,1594750
doi,doi_10.1000_1.json,2,369,reading,1389596
doi,doi_10.1000_1.json,2,369,loading,77615
doi,doi_10.1000_1.json,2,369,saving,39465
doi,doi_10.1000_1.json,2,369,writing,1017429
fda,recall100.json,2,2117776,reading,2753576740
fda,recall100.json,2,2117776,loading,48535640
fda,recall100.json,2,2117776,saving,23056028
fda,recall100.json,2,2117776,writing,2050401297
gh,gh_licenses.json,2,2507,reading,3603725
gh,gh_licenses.json,2,2507,loading,124740
gh,gh_licenses.json,2,2507,saving,89766
gh,gh_licenses.json,2,2507,writing,4684940
penguin,dekeijzer.json,2,446,reading,926561
penguin,dekeijzer.json,2,446,loading,54928
penguin,dekeijzer.json,2,446,saving,32890
penguin,dekeijzer.json,2,446,writing,900350
synthetic,list2.json,2,25,reading,61986
synthetic,list2.json,2,25,loading,64125
synthetic,list2.json,2,25,saving,19256
synthetic,list2.json,2,25,writing,272692
synthetic,object.json,2,77,reading,146787
synthetic,object.json,2,77,loading,37280
synthetic,object.json,2,77,saving,17687
synthetic,object.json,2,77,writing,313860
fda,tobacco100.json,2,63634,reading,84316172
fda,tobacco100.json,2,63634,loading,1113481
fda,tobacco100.json,2,63634,saving,781395
fda,tobacco100.json,2,63634,writing,45120209
synthetic,obj_rename.json,2,69,reading,129039
synthetic,obj_rename.json,2,69,loading,32513
synthetic,obj_rename.json,2,69,saving,15634
synthetic,obj_rename.json,2,69,writing,399548
gh,ffs.json,2,5089,reading,6799728
gh,ffs.json,2,5089,loading,95782
gh,ffs.json,2,5089,saving,108039
gh,ffs.json,2,5089,writing,4373178
fda,recall10.json,2,212061,reading,281987445
fda,recall10.json,2,212061,loading,5009071
fda,recall10.json,2,212061,saving,2512084
fda,recall10.json,2,212061,writing,207713326
penguin,grisham.json,2,22488,reading,30931644
penguin,grisham.json,2,22488,loading,1109378
penguin,grisham.json,2,22488,saving,727973
penguin,grisham.json,2,22488,writing,47100704
ncdc,ncdc_stations_big.json,2,200908,reading,268701821
ncdc,ncdc_stations_big.json,2,200908,loading,7846544
ncdc,ncdc_stations_big.json,2,200908,saving,5449569
ncdc,ncdc_stations_big.json,2,200908,writing,373152657
fda,tobacco10.json,2,6567,reading,10387479
fda,tobacco10.json,2,6567,loading,186889
fda,tobacco10.json,2,6567,saving,109582
fda,tobacco10.json,2,6567,writing,5058528
ncdc,ncdc_ewr_station.json,2,191,reading,305714
ncdc,ncdc_ewr_station.json,2,191,loading,44031
ncdc,ncdc_ewr_station.json,2,191,saving,23569
ncdc,ncdc_ewr_station.json,2,191,writing,539972
ncdc,ncdc_zips.json,2,2851,reading,3897857
ncdc,ncdc_zips.json,2,2851,loading,170593
ncdc,ncdc_zips.json,2,2851,saving,98255
ncdc,ncdc_zips.json,2,2851,writing,5920731
gh,ffs_issues.json,2,38158,reading,52376286
gh,ffs_issues.json,2,38158,loading,708771
gh,ffs_issues.json,2,38158,saving,595950
gh,ffs_issues.json,2,38158,writing,34218360
rv,agni.json,2,89267,reading,118408779
rv,agni.json,2,89267,loading,2269943
rv,agni.json,2,89267,saving,1755021
rv,agni.json,2,89267,writing,131672928
json.org,json_eg2.json,2,242,reading,371255
json.org,json_eg2.json,2,242,loading,71602
json.org,json_eg2.json,2,242,saving,33002
json.org,json_eg2.json,2,242,writing,661047
fda,registrationlisting.json,2,3228,reading,4298643
fda,registrationlisting.json,2,3228,loading,114410
fda,registrationlisting.json,2,3228,saving,90943
fda,registrationlisting.json,2,3228,writing,3683756
fda,recall50.json,2,1049501,reading,1382481323
fda,recall50.json,2,1049501,loading,24795942
fda,recall50.json,2,1049501,saving,11775442
fda,recall50.json,2,1049501,writing,1012971856
rv,demons.json,3,194,reading,290257
rv,demons.json,3,194,loading,64930
rv,demons.json,3,194,saving,22914
rv,demons.json,3,194,writing,466599
fda,registrationlisting.json,3,3228,reading,4223608
fda,registrationlisting.json,3,3228,loading,120967
fda,registrationlisting.json,3,3228,saving,106856
fda,registrationlisting.json,3,3228,writing,4033210
gov.uk,bank-holidays.json,3,15124,reading,21725627
gov.uk,bank-holidays.json,3,15124,loading,760888
gov.uk,bank-holidays.json,3,15124,saving,550551
gov.uk,bank-holidays.json,3,15124,writing,34124008
fda,recall.json,3,22475,reading,30523366
fda,recall.json,3,22475,loading,577273
fda,recall.json,3,22475,saving,285707
fda,recall.json,3,22475,writing,20805257
gh,ffs.json,3,5089,reading,6656472
gh,ffs.json,3,5089,loading,95323
gh,ffs.json,3,5089,saving,84910
gh,ffs.json,3,5089,writing,4338459
ncdc,ncdc_stations_big.json,3,200908,reading,267010996
ncdc,ncdc_stations_big.json,3,200908,loading,7381919
ncdc,ncdc_stations_big.json,3,200908,saving,4531245
ncdc,ncdc_stations_big.json,3,200908,writing,376007473
rv,human_male.json,3,603912,reading,804745002
rv,human_male.json,3,603912,loading,14122405
rv,human_male.json,3,603912,saving,9629670
rv,human_male.json,3,603912,writing,946711225
fda,recall100.json,3,2117776,reading,2742067021
fda,recall100.json,3,2117776,loading,48966490
fda,recall100.json,3,2117776,saving,23581898
fda,recall100.json,3,2117776,writing,2047496561
gh,gh_mgree_events.json,3,168832,reading,226525343
gh,gh_mgree_events.json,3,168832,loading,2510325
gh,gh_mgree_events.json,3,168832,saving,2368968
gh,gh_mgree_events.json,3,168832,writing,129710575
synthetic,list2.json,3,25,reading,62180
synthetic,list2.json,3,25,loading,62067
synthetic,list2.json,3,25,saving,19171
synthetic,list2.json,3,25,writing,284572
penguin,bsd.json,3,5415,reading,7201451
penguin,bsd.json,3,5415,loading,135856
penguin,bsd.json,3,5415,saving,82462
penguin,bsd.json,3,5415,writing,3441519
synthetic,obj_rename.json,3,69,reading,135189
synthetic,obj_rename.json,3,69,loading,34259
synthetic,obj_rename.json,3,69,saving,18136
synthetic,obj_rename.json,3,69,writing,422902
gh,mgree.json,3,1331,reading,1940355
gh,mgree.json,3,1331,loading,65310
gh,mgree.json,3,1331,saving,54287
gh,mgree.json,3,1331,writing,1805376
ncdc,ncdc_locations.json,3,2808,reading,3859919
ncdc,ncdc_locations.json,3,2808,loading,161472
ncdc,ncdc_locations.json,3,2808,saving,145605
ncdc,ncdc_locations.json,3,2808,writing,5903328
fda,recall50.json,3,1049501,reading,1377147661
fda,recall50.json,3,1049501,loading,24685898
fda,recall50.json,3,1049501,saving,11357589
fda,recall50.json,3,1049501,writing,1016508371
fda,registrationlisting100.json,3,214459,reading,280571241
fda,registrationlisting100.json,3,214459,loading,4321508
fda,registrationlisting100.json,3,214459,saving,3358619
fda,registrationlisting100.json,3,214459,writing,229769942
gh,kmt.json,3,4979,reading,6579558
gh,kmt.json,3,4979,loading,105628
gh,kmt.json,3,4979,saving,96920
gh,kmt.json,3,4979,writing,4539248
fda,tobacco_products.json,3,2345,reading,3229192
fda,tobacco_products.json,3,2345,loading,113657
fda,tobacco_products.json,3,2345,saving,66447
fda,tobacco_products.json,3,2345,writing,2358160
ncdc,ncdc_gsom_sample.json,3,2867,reading,3958560
ncdc,ncdc_gsom_sample.json,3,2867,loading,164496
ncdc,ncdc_gsom_sample.json,3,2867,saving,99093
ncdc,ncdc_gsom_sample.json,3,2867,writing,6029330
penguin,linux.json,3,64401,reading,88108760
penguin,linux.json,3,64401,loading,784404
penguin,linux.json,3,64401,saving,555976
penguin,linux.json,3,64401,writing,33550516
doi,doi_smoosh.json,3,537,reading,736736
doi,doi_smoosh.json,3,537,loading,83569
doi,doi_smoosh.json,3,537,saving,48222
doi,doi_smoosh.json,3,537,writing,1330004
ncdc,ncdc_locationcategories.json,3,543,reading,796158
ncdc,ncdc_locationcategories.json,3,543,loading,88391
ncdc,ncdc_locationcategories.json,3,543,saving,49422
ncdc,ncdc_locationcategories.json,3,543,writing,1602005
synthetic,object.json,3,77,reading,154698
synthetic,object.json,3,77,loading,36730
synthetic,object.json,3,77,saving,14313
synthetic,object.json,3,77,writing,320371
fda,recall10.json,3,212061,reading,279056885
fda,recall10.json,3,212061,loading,5009843
fda,recall10.json,3,212061,saving,2421593
fda,recall10.json,3,212061,writing,200953740
fda,event.json,3,1819,reading,2504095
fda,event.json,3,1819,loading,102585
fda,event.json,3,1819,saving,65579
fda,event.json,3,1819,writing,1830751
json.org,json_eg1.json,3,583,reading,810893
json.org,json_eg1.json,3,583,loading,72112
json.org,json_eg1.json,3,583,saving,60680
json.org,json_eg1.json,3,583,writing,1025431
rv,animal.json,3,7051,reading,9453374
rv,animal.json,3,7051,loading,238562
rv,animal.json,3,7051,saving,153211
rv,animal.json,3,7051,writing,10586522
ncdc,ncdc_07030.json,3,111,reading,196432
ncdc,ncdc_07030.json,3,111,loading,43108
ncdc,ncdc_07030.json,3,111,saving,14238
ncdc,ncdc_07030.json,3,111,writing,409396
penguin,grisham.json,3,22488,reading,31662093
penguin,grisham.json,3,22488,loading,1080328
penguin,grisham.json,3,22488,saving,827405
penguin,grisham.json,3,22488,writing,46895711
fda,tobacco100.json,3,63634,reading,86578889
fda,tobacco100.json,3,63634,loading,1628126
fda,tobacco100.json,3,63634,saving,792608
fda,tobacco100.json,3,63634,writing,44561994
fda,tobacco.json,3,1144,reading,1566231
fda,tobacco.json,3,1144,loading,79000
fda,tobacco.json,3,1144,saving,46636
fda,tobacco.json,3,1144,writing,1070235
fda,waterpipe.json,3,1955,reading,2603194
fda,waterpipe.json,3,1955,loading,110862
fda,waterpipe.json,3,1955,saving,49094
fda,waterpipe.json,3,1955,writing,1544791
penguin,dekeijzer.json,3,446,reading,602438
penguin,dekeijzer.json,3,446,loading,39807
penguin,dekeijzer.json,3,446,saving,26580
penguin,dekeijzer.json,3,446,writing,899922
ncdc,ncdc_07030_stations.json,3,1476,reading,1959538
ncdc,ncdc_07030_stations.json,3,1476,loading,112387
ncdc,ncdc_07030_stations.json,3,1476,saving,97429
ncdc,ncdc_07030_stations.json,3,1476,writing,3312644
json.org,json_eg2.json,3,242,reading,373840
json.org,json_eg2.json,3,242,loading,70086
json.org,json_eg2.json,3,242,saving,30283
json.org,json_eg2.json,3,242,writing,655170
